Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Equipment Repair,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,14000.00,13000.00,13000.00,17000.00,23287.00,11000.00,19000.00,17630.00,17630.00,19000.00,22443.00,33879.00,22500.00,23800.00,52123.00,55907.00,51270.00,54065.00,56097.50,58131.54,60000.00,10213.00,9005.00,7185.00,13370.00,23287.00,961.00,18249.00,17630.00,17521.00,3385.00,22444.00,33879.00,21927.00,16446.00,52071.00,55870.00,51270.00,54065.00,56097.50,58131.54
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Education & Training,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1055.00,1200.00,0.00,0.00,0.00,3762.87,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1055.00,1200.00,0.00,0.00,0.00,3762.87
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Miscellaneous,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,4953.00,4598.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,2000.00,2000.00,2820.00,145.00,2677.00,4224.00,0.00,73.84,0.00,374.00,150.00,1647.00,191.00,2605.00,0.00,300.00,0.00,1292.00,1809.00,750.00,818.00,1141.00,1330.00,2820.00,142.00,2677.00,4224.00,0.00,49.25
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Publishing,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2700.00,2482.43,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2694.30,2482.43
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Salaries & Benefits,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27000.00,52000.00,65420.00,80427.00,96624.61,56606.50,42500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27759.00,51391.00,65420.00,78865.00,96624.61,41036.83
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Office Supplies & Postage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2821.00,3000.00,1627.00,1079.00,117.75,1110.68,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2821.00,2297.00,1627.00,502.00,117.75,110.68
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,"Mileage, Dues, & Conventions",http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1050.00,1050.00,65.00,700.00,297.73,803.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1050.00,151.00,65.00,252.00,294.71,803.10
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Printing,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,849.00,900.00,1467.00,1500.00,916.83,1551.43,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,849.00,528.00,1467.00,650.00,916.83,1551.43
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Telephone,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1309.00,1400.00,1249.00,1400.00,1126.04,1200.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1309.00,1335.00,1249.00,1190.00,1126.04,1178.22
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Equipment Repairs & Maintenance,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1580.00,1900.00,2476.00,1498.00,1175.50,1216.29,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1580.00,1897.00,2476.00,1197.00,1175.50,1216.29
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Miscellaneous,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32525.00,5400.00,33370.00,594.00,5009.92,2100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24125.00,1069.00,33370.00,594.00,5009.92,1887.34
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Appellate Assistant Service,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19960.00,20000.00,19935.00,23000.00,14027.39,14500.00,13000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19960.00,16198.00,19935.00,14680.00,13480.00,13720.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Insurance,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,663103.00,645938.00,191543.00,206851.00,120433.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,609121.00,561831.00,191543.00,129340.00,120433.23,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Audit,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26798.00,26800.00,26300.00,26300.00,30635.00,29965.00,13514.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26798.00,26659.00,26300.00,28125.00,30635.00,29965.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Care of Cemetery,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,901.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,900.00,1000.00,500.00,900.00,1000.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,County Website Design,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.00,1301.00,1800.00,1800.00,1500.00,1475.00,1300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.00,1300.00,1800.00,1470.00,1475.00,1300.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Tourism Commission,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,2000.00,1000.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,West Central Planning,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9536.00,9536.00,9536.00,10000.00,9536.00,19072.00,9536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9536.00,9536.00,9536.00,9536.00,9536.00,19072.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Macoupin County Economic Development Partnership,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73269.00,154500.00,173000.00,173000.00,180900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73269.00,154500.00,173000.00,180662.00,169807.50,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,15,Transportaion (and Freight),Transportaion (and Freight),Miscellaneous,,These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,County Board Office,500.00,500.00,0.00,500.00,500.00,500.00,500.00,500.00,475.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.00,168.00,88.00,80.00,20.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,16,Contingency,Contingency,Miscellaneous,,This line item was used by the Board as a budget dollars that could be used in the case of an emergency. Beginning in 2007 it was no longer budgeted by the Board.,County Board Office,39212.00,57019.00,35433.00,49543.00,156567.00,19248.00,7927.00,21475.00,13959.00,1237.00,2198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,25526.00,2909.00,30545.00,5113.00,0.00,0.00,7828.00,27210.00,374.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Employee Health Insurance,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,285000.00,325000.00,325000.00,350000.00,350000.00,174312.00,220000.00,720000.00,839908.00,927769.00,792575.00,727673.00,765698.00,606156.00,0.00,0.00,0.00,0.00,0.00,577014.14,600000.00,276628.00,296359.00,322283.00,336313.00,358242.00,304129.00,235687.00,712585.00,800600.00,790075.00,715950.00,695012.00,548386.00,488266.00,0.00,0.00,0.00,0.00,0.00,577014.14
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Life Insurance,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5462.00,5000.00,0.00,0.00,0.00,0.00,0.00,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4582.00,4662.00,0.00,0.00,0.00,0.00,0.00,2311.27
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,State Unemployment Insurance,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,20000.00,25000.00,25000.00,25000.00,25000.00,688.00,15000.00,15000.00,12017.00,15460.00,17424.00,17800.00,28072.00,27844.00,0.00,0.00,0.00,0.00,0.00,50000.00,36000.00,20000.00,14055.00,9570.00,8328.00,12315.00,688.00,13271.00,12195.00,12017.00,15281.00,17424.00,17800.00,28072.00,27844.00,0.00,0.00,0.00,0.00,0.00,26330.74
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Workers Compensation Insurance,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,105000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Public Liability,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Property,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Miscellaneous,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,527.00,2415.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,247.00,2415.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,Retirees/Cobra Premiums,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100000.00,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88598.35
