Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,System Updates & Programming,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,26966,24828,29698,26000,31593,20436,12358,23198,61047,32000,50000,56000,42000,57994,21980,51400,54709,62372,50718,61303,38626,23754,26029,27220,21578,23584,6900,29774,35855,51200,27861,26646,24828,29697,25118,31582,20436,12358,20100,61047,14811,49839,54490,34056,57994,21980,51398,54709,62372,50178,61303,36826,23754,25737,27220,23584,23584,6900,29774,35855,51200,27861
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Equipment Repair & Maintenance,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,21200,25000,19700,26700,42707,33100,36377,32420,38006,30745,94823,146928,99720,141400,82393,116290,106009,119267,118881,158367,128873,0,0,0,0,0,0,0,0,0,0,21066,15417,19322,26450,42707,33098,36377,31944,38006,30681,94823,146928,99720,141400,116290,116290,106009,119267,118881,158367,128873
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Equipment,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,860,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,2753,0,0,8000,24400,0,0,860,0,849,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,2753,2753,0,0,8000,24400,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Election Expense,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,12000,12911,11177,10968,6006,12000,64293,15892,13172,30496,25499,42155,22100,21800,7989,11500,5532,10018,5534,3161,5000,3980,4510,6881,6347,20861,25464,23490,13213,22404,9463,11601,12911,11177,10898,6006,11949,62978,15892,13150,27800,15950,15103,21481,18447,7989,10949,5532,8943,3317,3161,5000,3980,4510,6881,20861,17911,25464,23490,13213,22404,9463
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Capital Outlay,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,2317,675,8210,9700,293000,6230,12000,1500,3350,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317,675,1559,9700,254935,15778,0,0,3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Office Machine Rent,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,367,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Lease Agreements,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33113,28757,6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33113,33113,28757,6774,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Election Judge Stipend,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75818,43135,76700,37130,69038,27015,56347,21278,67802,30886,87811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75818,43135,76700,37130,27015,27015,56347,21278,67772,30886,87811
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,7,Elections,Elections,Miscellaneous,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,260,2036,2104,1882,1843,2011,8004,2617,1921,17638,6542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,260,2036,2104,1882,2011,2011,8004,2617,1921,17467,6542
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Salaries & Benefits,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,88764,94126,113940,117847,130328,135052,142818,137777,132760,129741,129741,129741,170905,169200,151671,136679,125332,116000,118170,102172,104230,88351,84696,88292,88149,93971,89912,105365,101869,114525,138376,88764,90757,105647,117631,128658,132596,138650,135470,124179,121750,121337,118442,136964,152941,151670,136679,119959,111248,114776,92601,104230,79828,84696,86421,93971,93971,89912,105365,101868,113272,137077
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Office Supplies,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,1830,1000,1000,1000,1034,1000,1000,1000,1000,1000,1000,1300,1300,1300,249,2185,1752,1800,1800,1800,1800,1400,838,1100,1100,926,1100,1100,1100,1100,1100,1830,886,861,846,1034,292,657,410,557,805,298,451,1233,902,249,2185,925,1434,1269,1390,739,948,779,396,926,625,534,306,936,404,1056
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Postage,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,9290,10000,10000,10000,8190,9000,6730,8000,8000,8000,8000,8000,10000,10000,6647,8820,9126,14435,14435,14440,15448,14649,15066,13200,13200,13200,13200,13200,15461,14500,17754,9290,9510,9007,3967,7220,5235,868,1191,5037,948,1468,4652,8826,1183,6647,8820,9126,13621,13489,13951,14612,13829,15066,11443,13200,9654,9446,13059,15461,9149,17754
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Travel,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,2114,3000,4000,4000,6000,6000,7000,6000,2981,6000,1600,6000,6295,8000,5290,3246,3672,6000,2596,5825,3263,4000,3450,3600,4025,2558,4025,4025,4025,3162,4025,2114,2260,2596,2016,2344,1501,2965,2683,976,1022,1828,969,3282,2954,5290,3246,3672,4731,2596,3096,2907,3473,3450,3033,2558,2458,3508,3084,3662,3062,3565
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Printing,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,18571,13123,17670,18000,18000,17000,16000,17000,17000,17000,17000,16000,16000,14678,13747,16237,17368,20000,19520,19988,22501,23239,22834,22775,24976,21094,24976,24976,22715,20212,20816,18571,4147,10939,12074,11101,11152,11703,9860,12968,13287,12449,14892,15541,14678,13747,16237,14359,9727,16545,13643,22501,18183,22378,17113,21094,21094,20109,23259,22482,18653,20436
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Education & Training,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,1304,3000,3021,3000,3000,3000,3000,3000,3000,3000,3000,3000,2910,42,630,1455,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1304,959,3021,2255,1564,705,2122,1301,587,974,30,1800,725,20,630,1455,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Telephone,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,1627,1800,2109,2739,2800,2800,2926,3800,3800,3800,3800,4403,4500,4500,2344,3373,3600,3600,3621,3775,4300,4361,5675,3498,0,120,0,0,0,0,0,1567,1301,2082,2739,2387,2604,2926,2908,2434,2264,2250,2031,2521,3061,2344,3373,3160,2921,3621,3743,4202,4361,5675,3266,120,120,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Miscellaneous,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,1000,0,6761,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,282,0,1610,1784,0,0,0,0,0,0,0,0,6491,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,282,0,1784,1784,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Equipment,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2097,2090,2000,35,339,0,2000,3840,0,459,0,100,500,1000,990,1000,947,1000,540,7,0,0,0,0,0,1368,839,483,1548,810,1668,2097,2090,187,35,339,0,1848,3840,0,143,0,83,439,990,990,0,0,354,540,7
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Equipment Repair & Maintenance,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2993,0,297,0,2000,0,1000,500,1098,1300,766,1300,1300,1300,28387,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2993,0,297,0,1782,0,82,257,798,766,750,865,68,394,28387,1575
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,8,Supervisor of Assessments,Supervisor of Assessments,Office Machine Rent,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,0,0,1610,1610,1610,1610,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,0,0,1070,1325,993,1325,1325
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,9,Audit,Audit,Cost of Audit,,The yearly expense for the county's audit of it's financial books where paid from this fund until 2009 when the expenses where then paid out of County Adminstration line item.,County Board Office,21500,18000,18000,18000,18000,18000,18000,18000,19100,25574,22030,23180,22033,22033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,9370,14427,12637,18035,17127,23976,24600,17005,25574,22030,23180,22032,22033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,10,Cemetery,Cemetery,Grants to Cemeteries,,The expenses to the County to pay for the care of the county owned pauper cemetary. These expenses where moved to the County Adminstration line item in 2009.,County Board Office,2000,2500,2500,2500,2500,2500,2500,2500,1430,1200,1200,1200,3800,3724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,1000,350,900,300,900,600,600,600,600,600,800,1250,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,11,Capital Improvements,Capital Improvements,Capital Project Expense,,"The line item, under the control of the Sheriff, funds routine general maintenance projects in the County Jail Building, County Courthouse, and other county facilities.",County Board Office,155000,125000,248602,441286,500000,750000,243000,243400,135000,158519,65208,25675,28000,28000,28000,30000,2940,3000,3000,3000,4000,3000,0,0,0,0,0,0,0,100000,0,129063,36986,79495,122297,639370,714230,254927,38067,134353,70183,43707,16531,4000,12826,26618,28225,2940,3000,3000,0,3923,3000,0,0,0,0,0,0,0,88977,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,12,Copy Room,Copy Room,Salaries & Benefits,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,County Clerk,19368,20279,21468,22982,24782,26282,27482,28442,30333,31608,31608,33516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19368,20279,21468,22948,24782,26282,27482,28442,30333,31607,31607,33516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,12,Copy Room,Copy Room,Office Supplies,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,County Clerk,1500,3325,2000,3000,2576,3500,5429,3689,3003,3494,4048,2250,4196,4360,3789,2957,3278,4210,4700,4795,4073,4000,3043,3278,2998,4254,5687,4097,6910,7476,7476,1359,3325,1390,1859,2260,3309,5107,3134,2957,3170,3001,2250,3203,3756,3771,2957,3278,4043,4700,4405,4073,3964,3043,3154,4254,4254,5000,4097,6910,5066,4903
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,12,Copy Room,Copy Room,Travel,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,12,Copy Room,Copy Room,Machine Rent,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,County Clerk,5303,7086,7500,6500,6924,7500,5571,7811,6700,7029,7451,6834,8804,7400,6560,6875,6357,9322,5132,5205,5927,19358,6957,6722,7002,8746,7313,10902,11290,11500,11500,5267,7086,6763,6432,6924,7151,5571,7811,6610,7029,7452,6689,8804,6845,6560,6872,6320,9322,5132,5205,5927,19118,6957,6722,8746,7707,7313,10902,10438,11305,11255
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Salaries & Benefits,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305,21795,516,3600,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2295,22366,2081,1483,2798
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Office Supplies,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,13047,14402,26496,25420,17215,17000,15000,28369,28369,33251,28000,28000,18662,21000,7146,29755,837,5720,2707,831,512,1603,1208,1745,4717,1600,1600,982,1600,2000,1806,13047,14402,26496,25420,17215,16673,6115,28369,14768,33251,16134,4323,18662,17975,7146,29641,837,5720,2707,831,512,1603,1208,1745,1600,212,592,819,506,777,966
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Postage,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,13272,13145,13899,16342,11520,10000,31425,18000,18000,22790,12000,18000,18000,22742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,13190,13137,13899,16342,11520,10000,31418,18000,5000,18800,12000,16000,18000,22742
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Printing,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8715,14629,10627,11116,11423,12435,9180,7932,12516,12365,13005,6159,15012,10413,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8715,14629,10627,11116,11423,12435,9180,7932,12365,5189,3351,6159,15012,6737,5863
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,System Updates & Programming,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,7000,8000,1504,8000,8000,8000,25000,8000,6000,3249,6000,6000,1419,6000,0,0,0,0,0,0,0,0,0,42755,44265,3600,1695,0,2000,2000,2000,6915,3005,422,0,3086,2919,24050,858,1496,1462,659,1500,500,0,0,0,0,0,0,0,0,0,0,42755,3600,600,100,0,1420,1770,2000
